review_id,patient_experience,staff_behavior,facility_feedback,overall_rating
1,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Good
2,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Average
3,Patient reported a negative experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Poor
4,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities required better hygiene.,Very Poor
5,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Excellent
6,Patient reported a positive experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Good
7,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Average
8,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities required better hygiene.,Poor
9,Patient reported a negative experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Very Poor
10,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Excellent
11,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Good
12,Patient reported a positive experience during the hospital stay.,Staff communication was poor.,Facilities required better hygiene.,Average
13,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Poor
14,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Very Poor
15,Patient reported a negative experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Excellent
16,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities required better hygiene.,Good
17,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Average
18,Patient reported a positive experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Poor
19,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Very Poor
20,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities required better hygiene.,Excellent
21,Patient reported a negative experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Good
22,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Average
23,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Poor
24,Patient reported a positive experience during the hospital stay.,Staff communication was poor.,Facilities required better hygiene.,Very Poor
25,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Excellent
26,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Good
27,Patient reported a negative experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Average
28,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities required better hygiene.,Poor
29,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Very Poor
30,Patient reported a positive experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Excellent
31,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Good
32,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities required better hygiene.,Average
33,Patient reported a negative experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Poor
34,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Very Poor
35,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Excellent
36,Patient reported a positive experience during the hospital stay.,Staff communication was poor.,Facilities required better hygiene.,Good
37,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Average
38,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Poor
39,Patient reported a negative experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Very Poor
40,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities required better hygiene.,Excellent
41,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Good
42,Patient reported a positive experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Average
43,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Poor
44,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities required better hygiene.,Very Poor
45,Patient reported a negative experience during the hospital stay.,Staff communication was poor.,Facilities were clean and well maintained.,Excellent
46,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Good
47,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Average
48,Patient reported a positive experience during the hospital stay.,Staff communication was poor.,Facilities required better hygiene.,Poor
49,Patient reported a negative experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Very Poor
50,Patient reported a positive experience during the hospital stay.,Staff were polite and helpful.,Facilities were clean and well maintained.,Excellent
